release_year,genre,score
1996,Action,5.497777777777777
1997,Action,6.267164179104477
1998,Action,6.719587628865979
1999,Action,7.0027397260273965
2000,Action,6.587936507936509
2001,Action,6.889047619047622
2002,Action,6.924390243902439
2003,Action,7.094153846153846
2004,Action,7.066101694915253
2005,Action,6.955609756097571
2006,Action,6.588208616780044
2007,Action,6.341354723707665
2008,Action,6.526274509803927
2009,Action,6.730604288499028
2010,Action,6.887529411764706
2011,Action,6.929618768328446
2012,Action,7.196153846153841
2013,Action,7.199111111111108
2014,Action,7.346892655367237
2015,Action,7.82906976744186
2016,Action,7.248076923076924
1996,Adventure,6.6
1997,Adventure,6.825
1998,Adventure,7.523529411764706
1999,Adventure,7.112499999999999
2000,Adventure,6.432352941176471
2001,Adventure,6.846774193548387
2002,Adventure,7.402857142857142
2003,Adventure,7.432758620689657
2004,Adventure,7.17927927927928
2005,Adventure,7.320535714285712
2006,Adventure,6.764516129032258
2007,Adventure,6.611111111111112
2008,Adventure,6.573394495412842
2009,Adventure,6.709929078014184
2010,Adventure,6.869178082191781
2011,Adventure,7.23489932885906
2012,Adventure,7.429752066115698
2013,Adventure,7.505185185185183
2014,Adventure,7.7111111111111095
2015,Adventure,7.610975609756098
2016,Adventure,7.400000000000001
1996,Fighting,6.375
1997,Fighting,5.788235294117647
1998,Fighting,6.894736842105263
1999,Fighting,6.975862068965518
2000,Fighting,7.217948717948718
2001,Fighting,8.214285714285714
2002,Fighting,7.057142857142858
2003,Fighting,6.8342857142857145
2004,Fighting,6.717499999999999
2005,Fighting,6.731707317073172
2006,Fighting,6.707894736842104
2007,Fighting,6.3825
2008,Fighting,7.084482758620689
2009,Fighting,7.011764705882356
2010,Fighting,6.993333333333334
2011,Fighting,6.985294117647059
2012,Fighting,7.8
2013,Fighting,7.610526315789475
2014,Fighting,7.7555555555555555
2015,Fighting,7.214285714285714
2016,Fighting,7.144444444444444
1996,Racing,7.2266666666666675
1997,Racing,6.790000000000001
1998,Racing,6.972727272727273
1999,Racing,7.055238095238095
2000,Racing,6.67051282051282
2001,Racing,6.926881720430109
2002,Racing,6.842857142857141
2003,Racing,6.927642276422763
2004,Racing,6.720000000000001
2005,Racing,7.042857142857143
2006,Racing,6.322580645161292
2007,Racing,6.368333333333333
2008,Racing,5.742982456140348
2009,Racing,6.647191011235956
2010,Racing,7.096363636363637
2011,Racing,7.0423728813559325
2012,Racing,7.257894736842106
2013,Racing,7.23888888888889
2014,Racing,7.815384615384616
2015,Racing,7.800000000000001
2016,Racing,7.658333333333335
1996,Shooter,5.416666666666667
1997,Shooter,7.154545454545453
1998,Shooter,7.592307692307694
1999,Shooter,7.614999999999999
2000,Shooter,7.648148148148149
2001,Shooter,7.621875000000001
2002,Shooter,7.3000000000000025
2003,Shooter,6.957894736842106
2004,Shooter,6.971428571428569
2005,Shooter,7.496747967479675
2006,Shooter,6.830120481927709
2007,Shooter,7.174482758620691
2008,Shooter,6.574404761904761
2009,Shooter,7.036805555555552
2010,Shooter,7.142142857142857
2011,Shooter,7.0078740157480315
2012,Shooter,7.536363636363637
2013,Shooter,7.080412371134018
2014,Shooter,7.409230769230769
2015,Shooter,8.095348837209302
2016,Shooter,7.426470588235295
